663,6/24/1987,Final Jeopardy!,SCULPTURE,None,"Dedicated in Concord, Mass. in 1875, it was Daniel Chester French's 1st commission",The Minuteman
731,11/9/1987,Final Jeopardy!,FAMOUS WOMEN,None,"Both Detroit, her home now, and Montgomery, Alabama, her home in 1955, have streets named for her",Rosa Parks
732,11/10/1987,Final Jeopardy!,THE BIBLE,None,"The first verse of this book says, ""There was a man in the land of Uz that feared God and eschewed evil""",Job
733,11/11/1987,Final Jeopardy!,PRESIDENTS,None,"This consonant begins the last names of five presidents, more than any other letter",H
734,11/12/1987,Final Jeopardy!,AMERICAN INDIANS,None,This famed Sauk Indian had both a war and a pro sports team named for him,Black Hawk
735,11/13/1987,Final Jeopardy!,THE CABINET,None,One of two Cabinet department heads who have held their position for the entire Reagan administration thus far,(one of) Caspar Weinberger or Samuel Pierce of HUD
736,11/16/1987,Final Jeopardy!,WORLD GEOGRAPHY,None,"This former British colony, which gained independence in 1960, is the most populous country in Africa",Nigeria
737,11/17/1987,Final Jeopardy!,STATE CAPITALS,None,"Of the 4 U.S. state capitals named after presidents, this is farthest north and east","Madison, Wisconsin"
738,11/18/1987,Final Jeopardy!,ISLANDS,None,"Just over 4,000 square miles, it's the largest single island under the US flag","Big Island of Hawaii (4,028)"
739,11/19/1987,Final Jeopardy!,RULERS,None,The only name shared by four consecutive kings of England,George (I - IV)
740,11/20/1987,Final Jeopardy!,19th CENTURY DEMOCRATS,None,"He said, ""I am the last president of the United States""",James Buchanan
758,12/9/1987,Final Jeopardy!,THE NEW TESTAMENT,None,"Never mentioned by name in the Bible, this daughter of Herodias is one of the most famous women in it",Salome
759,12/10/1987,Final Jeopardy!,RELIGION,None,"On Jan. 1, 1977, in Indianapolis, Mrs. J. Means became 1st woman legally ordained a priest by this church",the Episcopal Church
776,1/11/1988,Final Jeopardy!,SOUTH AMERICA,None,These are the only 2 independent countries in South America named for a famous person,Colombia & Bolivia
777,1/12/1988,Final Jeopardy!,DRAMA,None,"This play is divided into ""parts"", not acts, with the 2nd titled ""The Gentleman Calls""",The Glass Menagerie
778,1/13/1988,Final Jeopardy!,HOLIDAYS & OBSERVANCES,None,"As the Constitutional bicentennial reminded us, the Constitution was signed on this date in 1787",September 17th
779,1/14/1988,Final Jeopardy!,U.S. RIVERS,None,"The 2 longest rivers found in Idaho, both named for animals which begin with ""S""",the Snake River & the Salmon River
780,1/15/1988,Final Jeopardy!,PRESIDENTS,None,"Of the 5 vowels, only these are the 1st letter of a president's last name",A & E
786,1/25/1988,Final Jeopardy!,THE MOVIES,None,This musical drama was made in 1927 & remade in 1953 and 1980,The Jazz Singer
838,4/6/1988,Final Jeopardy!,WORLD TRADE,None,"Of all fresh fruits, the U.S. imports more of this one than any other",bananas
839,4/7/1988,Final Jeopardy!,ISLANDS,None,This island of 5 million has 3 million fewer people now than it had 150 years ago,Ireland
897,6/28/1988,Final Jeopardy!,AMERICAN WOMEN,None,"On Aug. 25, 1835, at age 22, she died in a farmhouse outside New Salem, Illinois",Ann Rutledge
902,7/5/1988,Final Jeopardy!,CIVIL WAR,None,1 of 2 states represented in the 13 stars on the Confederate flag even though they stayed in the Union,(1 of) Missouri & Kentucky
958,11/2/1988,Final Jeopardy!,THE SPACE RACE,None,"Sputnik was the Soviet's 1st satellite, while this was ours",Explorer
961,11/7/1988,Final Jeopardy!,WORLD CITIES,None,This major North American city is built around the mountain for which it's named,Montreal (Mont Royal)
962,11/8/1988,Final Jeopardy!,PRESIDENTIAL ELECTIONS,None,He was the only incumbent vice president to defeat a president in a presidential election,Thomas Jefferson (1800)
963,11/9/1988,Final Jeopardy!,FOREIGN PHRASES,None,"The Greek expression meaning ""philosophy (is) the guide of life"" is abbreviated by these three Greek letters",phi beta kappa
964,11/10/1988,Final Jeopardy!,THE OSCARS,None,"Husband and wife who won Oscars almost 30 years apart, she in 1958, he in 1987",Paul Newman & Joanne Woodward
965,11/11/1988,Final Jeopardy!,THE SUPREME COURT,None,Only member of the current court who has been elected to a public office,Sandra Day O'Connor (state senator from Arizona)
966,11/14/1988,Final Jeopardy!,THE CIVIL WAR,None,The bloodiest single day of fighting in the Civil War took place in this state,Maryland
967,11/15/1988,Final Jeopardy!,THE NOBEL PRIZE,None,"This country's authors have won more Nobel literature prizes than any other, including the U.S.",France
968,11/16/1988,Final Jeopardy!,MAN IN SPACE,None,"3 months after John Glenn, he became the second American to orbit the earth",(Malcolm) Scott Carpenter
969,11/17/1988,Final Jeopardy!,GEOGRAPHY,None,"Now independent, this island has been ruled by Phoenicians, Romans, Arabs, Normans, French, and British",Malta
970,11/18/1988,Final Jeopardy!,ELECTIONS,None,3 twentieth century presidents who were defeated when running to retain the office,"(3 of) Taft, Hoover, Carter, & Ford"
980,12/2/1988,Final Jeopardy!,MONARCHS,None,This Queen of England was the granddaughter of Ferdinand & Isabella of Spain,Mary I (Bloody Mary)
1002,1/3/1989,Final Jeopardy!,LEADING LADIES,None,"The 2 blonde sex symbols who made their last films with Gable, 1 released in 1937, 1 in 1961",Jean Harlow & Marilyn Monroe
1102,5/23/1989,Final Jeopardy!,LITERATURE,None,It's where Philip Nolan asked to be buried,at sea
1103,5/24/1989,Final Jeopardy!,WORLD CITIES,None,"Linked by the world's 5th longest suspension bridge, it lies in both Europe & Asia",Istanbul
1104,5/25/1989,Final Jeopardy!,MONEY,None,It was the 1st country to use paper money,China
1105,5/26/1989,Final Jeopardy!,FICTIONAL CHARACTERS,None,"According to the Browning poem, he could also get rid of ""The mole and toad and newt and viper""",the Pied Piper of Hamelin
1106,5/29/1989,Final Jeopardy!,THE 50 STATES,None,"The 2 states whose names end with the letter ""Y""",Kentucky & New Jersey
1147,9/5/1989,Final Jeopardy!,WORLD LEADERS,None,This famous man was the grandfather of the current prime minister of India,Jawaharlal Nehru
1150,9/8/1989,Final Jeopardy!,THE CABINET,None,"When this department was established in 1849, it was called the Home Department",the Department of the Interior
1152,9/12/1989,Final Jeopardy!,LITERATURE,None,"The next-to-last chapter of this novel is entitled ""The Knitting Done""",A Tale of Two Cities
1158,9/20/1989,Final Jeopardy!,LONDON LANDMARKS,None,It was built originally on the Whitehall site of a medieval palace used to house visiting Scottish kings,Scotland Yard
1162,9/26/1989,Final Jeopardy!,BEST SELLERS,None,"A juvenile edition of this 1961 best seller was called ""The Great Adventure of Michelangelo""",The Agony & The Ecstasy
1164,9/28/1989,Final Jeopardy!,LEGENDS,None,She abducted Lancelot when he was a baby & kept him on an island,the Lady of the Lake (or Vivien or Nimue)
1170,10/6/1989,Final Jeopardy!,AMERICAN LITERATURE,None,The only native Californian to win the Nobel Prize for Literature,John Steinbeck (in 1940 for The Grapes of Wrath)
1175,10/13/1989,Final Jeopardy!,SHAKESPEARE,None,"He appears in 3 of Shakespeare's plays & his death is reported in ""King Henry V""",Sir John Falstaff
1177,10/17/1989,Final Jeopardy!,THE UNITED NATIONS,None,It's the largest country in Europe that is not a member of the United Nations,Switzerland
1185,10/27/1989,Final Jeopardy!,FILMS OF THE '50s,None,"The 2 ""High"" films in which Grace Kelly starred",High Noon (1952) & High Society (1955)
1190,11/3/1989,Final Jeopardy!,PRESIDENTS,None,The last president who did not serve in the armed forces,Franklin D. Roosevelt
1191,11/6/1989,Final Jeopardy!,U.S. STATES,None,"With over 35,000 miles, this state has the longest highway system in the U.S.",Texas
1192,11/7/1989,Final Jeopardy!,U.S. POLITICS,None,"He served as Sec'y of H.E.W., Sec'y of Defense & Att'y General, all in the same year--1973",Elliot Richardson
1193,11/8/1989,Final Jeopardy!,THE OSCARS,None,Only Pulitzer Prize-winning novels to become Oscar-winning “Best Pictures” are “All The King's Men” & this one,Gone with the Wind
1194,11/9/1989,Final Jeopardy!,COMMUNICATIONS,None,"The ""T"" in TASS, an agency founded in the Soviet Union in 1925, stands for this",Telegraph
1195,11/10/1989,Final Jeopardy!,THE CENSUS,None,2 of the 4 U.S. states with a population density greater than 500 people per square mile,"(2 of) Connecticut, Massachusetts, New Jersey & Rhode Island"
1196,11/13/1989,Final Jeopardy!,STATE CAPITALS,None,2 of the 3 state capitals lying on the Missouri River,"Jefferson City (MO), Bismarck (ND) & Pierre (SD)"
1197,11/14/1989,Final Jeopardy!,FICTIONAL CHARACTERS,None,"Hired as a ship's cook, he led the mutiny aboard the Hispaniola",Long John Silver (in Treasure Island)
1198,11/15/1989,Final Jeopardy!,VICE PRESIDENTS,None,At 39 he was the youngest man to take the office of vice president,Richard Nixon (in 1953)
1199,11/16/1989,Final Jeopardy!,UNREAL ESTATE,None,Originally this legendary place name referred to a ruler near Bogota who dusted his body with gold,El Dorado
1200,11/17/1989,Final Jeopardy!,U.S. HISTORY,None,"The states admitted to the Union in the 20th century were Alaska, Hawaii & these 3","Arizona, New Mexico & Oklahoma"
1206,11/27/1989,Final Jeopardy!,STATE CAPITALS,None,"Genoa, Italy gave this state capital a 20' statue which was put in front of City Hall","Columbus, Ohio"
1210,12/1/1989,Final Jeopardy!,LANGUAGES,None,To have taken the 1st modern IQ test in 1905 you had to understand this language,French (the Binet-Simon test)
1214,12/7/1989,Final Jeopardy!,THE MOVIES,None,"The only film role Jimmy Cagney played twice; the 2nd time was in ""The 7 Little Foys""",George M. Cohan
1215,12/8/1989,Final Jeopardy!,RIVERS,None,The single greatest source of water power in the U.S. is on this river,The Columbia River (Grand Coulee Dam)
1221,12/18/1989,Final Jeopardy!,FAMOUS NAMES,None,"He said, ""I saw a fleet of fishing boats, ...flew down...& yelled at them, asking if I was on the right road to Ireland""",Charles Lindbergh
1224,12/21/1989,Final Jeopardy!,AWARDS,None,More Congressional Medal of Honor winners have come from this war than any other,the Civil War
1227,12/26/1989,Final Jeopardy!,TEXAS,None,The front of the state seal of Texas has 1 star & the back of the seal has 6 of these,Flags (Six flags over Texas)
1230,12/29/1989,Final Jeopardy!,WORD ORIGINS,None,This word for a close friend or an old chum comes from the Greek word for time,Crony (from the Greek god Cronus)
1236,1/8/1990,Final Jeopardy!,ANAGRAMS,None,"2 words having to do with parenthood  that are anagrams of ""Parental""",Paternal & Prenatal
1237,1/9/1990,Final Jeopardy!,GEOGRAPHY,None,The 2 independent South American countries named after famous men,Bolivia and Colombia
1238,1/10/1990,Final Jeopardy!,PLAYS,None,1949 Pulitzer Prize play in which the title character commits suicide for the insurance money,Death of a Salesman
1239,1/11/1990,Final Jeopardy!,ORGANIZATIONS,None,"It moved its HQ from Savannah to Wash. D.C. in 1913, & in 1917 began making each First Lady honorary pres.",The Girl Scouts of the U.S.A.
1240,1/12/1990,Final Jeopardy!,BUSINESS & INDUSTRY,None,The Welch's Company has its corporate headquarters in this Mass. town,Concord
1241,1/15/1990,Final Jeopardy!,U.S. PRESIDENTS,None,"Of the 1st 7 presidents, only these 2 were not re-elected",John Adams & John Quincy Adams
1245,1/19/1990,Final Jeopardy!,ANCIENT TIMES,None,This city didn't exist at the time of the Trojan War so Paris couldn't have abducted Helen from there,Sparta (Helen was married to the king of Sparta)
1246,1/22/1990,Final Jeopardy!,DISNEY,None,"The last full-length cartoon feature Walt Disney supervised personally, it was set in India",The Jungle Book
1247,1/23/1990,Final Jeopardy!,AMERICAN HISTORY,None,He was born in Connecticut in 1800 & hanged for treason in Virginia in 1859,John Brown
1250,1/26/1990,Final Jeopardy!,AMERICAN AUTHORS,None,"He died at age 28,  just 5 years after his Civil War novel was published","Stephen Crane (\""The Red Badge of Courage\"")"
1251,1/29/1990,Final Jeopardy!,ROYALTY,None,"If Prince Charles keeps his name when he becomes king, this number will follow it",Charles III
1252,1/30/1990,Final Jeopardy!,EUROPE,None,2 of the 3 countries which today share the region of ancient Macedonia,"Bulgaria, Greece & Yugoslavia"
1254,2/1/1990,Final Jeopardy!,PUNCTUATION,None,"The name of this punctuation mark is Greek for ""together""",Hyphen
1255,2/2/1990,Final Jeopardy!,POLITICS,None,He was the last man holding the office of gov. when elected vice president of the U.S.,Spiro Agnew (1968)
1257,2/6/1990,Final Jeopardy!,LANDMARKS,None,"Slated for demolition, it held 2 madmen, 4 forgers & a nobleman when the mob came for its gunpowder",The Bastille
1260,2/9/1990,Final Jeopardy!,SHAKESPEARE,None,"Tho Shakespeare wrote many plays about kings, she is the only title character who is a queen",Cleopatra
1262,2/13/1990,Final Jeopardy!,THE REVOLUTIONARY WAR,None,In April 1775 Gen. J. Warren made him an official messenger of the Committee of Safety,Paul Revere
1263,2/14/1990,Final Jeopardy!,ASTRONOMY,None,In 1910 it could be seen with the naked eye; in 1911 a telescope was necessary; by 1912 it was gone,Halley's Comet
1265,2/16/1990,Final Jeopardy!,AMERICAN NOVELS,None,"Chapter 15 of this 1881 novel is entitled ""Tom as King""",The Prince and the Pauper
1266,2/19/1990,Final Jeopardy!,ANCIENT HISTORY,None,"Crassus, Julius Caesar & this man formed the 1st Triumvirate",Pompey
1267,2/20/1990,Final Jeopardy!,GOVERNMENT,None,"This man resigned his Senate seat January 3, 1989",Dan Quayle
1271,2/26/1990,Final Jeopardy!,U.S. STATES,None,"After Rhode Island & Delaware, it's the next smallest state in area",Connecticut
1272,2/27/1990,Final Jeopardy!,BRITISH ROYALTY,None,"Before Prince Andrew, he was the last Duke of York",King George VI
1273,2/28/1990,Final Jeopardy!,WORLD TRADE,None,3 of the 5 founding members of OPEC,"Iran, Iraq, Kuwait, Saudi Arabia & Venezuela"
1274,3/1/1990,Final Jeopardy!,WORLD HISTORY,None,City that was the seat of government of the viceroyalty of New Spain,Mexico City
1276,3/5/1990,Final Jeopardy!,SHAKESPEAREAN TITLE CHARACTERS,None,"He is introduced as ""The triple pillar of the world transformed into a strumpet's fool""",Marc Antony
1279,3/8/1990,Final Jeopardy!,FAMOUS NAMES,None,"He published a history of Virginia & New England in 1624, after escaping from Turks, Indians & pirates",Captain John Smith
1281,3/12/1990,Final Jeopardy!,THE NOBEL PRIZE,None,The only peace prize awarded posthumously went to this man in 1961,Dag Hammarskjold (the secretary-general of the UN who was killed in the plane crash in Africa)
1283,3/14/1990,Final Jeopardy!,AMERICAN POETRY,None,"The poem that includes the line:  ""Leave no black plume as a token of that lie thy soul hath spoken!""","\""The Raven\"" (by Edgar Allan Poe)"
1285,3/16/1990,Final Jeopardy!,LITERARY CHARACTERS,None,"He first appeared as the title character in the 1630 drama ""The Seducer of Seville""",Don Juan
1286,3/19/1990,Final Jeopardy!,THE CALENDAR,None,Civilization that produced the first known calendar with 365 days,Ancient Egypt
1289,3/22/1990,Final Jeopardy!,U.S. PRESIDENTS,None,This president was the last surviving signer of the U.S. Constitution,James Madison
1291,3/26/1990,Final Jeopardy!,COUNTRIES OF THE WORLD,None,The world's most populous democracy,India
1294,3/29/1990,Final Jeopardy!,COLLEGES & UNIVERSITIES,None,The only state that's home to 2 Ivy League schools,"New York (Columbia, in NYC & Cornell, in Ithaca)"
1295,3/30/1990,Final Jeopardy!,WORLD HISTORY,None,He became a nat'l hero when he led the Spanish Foreign Legion against Moroccan rebels in the 1920s,Gen. Francisco Franco
1296,4/2/1990,Final Jeopardy!,ACTORS & THEIR ROLES,None,This actor won a 1952 Tony and a 1956 Oscar for playing the same ruler,"Yul Brynner (\""The King & I\"")"
1300,4/6/1990,Final Jeopardy!,MONEY,None,Country whose basic monetary unit is the Balboa,Panama
1302,4/10/1990,Final Jeopardy!,CABLE TELEVISION,None,"The name of this channel can be traced back to a movie theater that opened in 1905 in McKeesport, Pa.",Nickelodeon
1307,4/17/1990,Final Jeopardy!,MAGAZINES,None,The 2 major literary monthlies founded in the 1850s that survive today,The Atlantic Monthly & Harpers
1308,4/18/1990,Final Jeopardy!,13-LETTER WORDS,None,"Word meaning ""immeasurably small""; its first 8 letters are a word meaning ""immeasurably great""",infinitesimal
1309,4/19/1990,Final Jeopardy!,BUSINESS & INDUSTRY,None,This company was incorporated in 1946 as Tokyo Telecommunications Engineering Corporation,Sony
1311,4/23/1990,Final Jeopardy!,STATE CAPITALS,None,This city was named for a first century Roman citizen & missionary,"St. Paul, Minnesota"
1312,4/24/1990,Final Jeopardy!,PLAYWRIGHTS,None,"His most famous play was first produced in 1895, the year he was sent to jail, & he never wrote another","Oscar Wilde (\""The Importance of Being Earnest\"")"
1317,5/1/1990,Final Jeopardy!,U.S. STATES,None,The only U.S. state that borders 4 Great Lakes,"Michigan  (borders Huron, Michigan, Erie & Superior)"
1318,5/2/1990,Final Jeopardy!,ARCHITECTURE,None,"Once a professor of astronomy, he designed the Royal Observatory at Greenwich",Sir Christopher Wren
1319,5/3/1990,Final Jeopardy!,ACTORS & THEIR ROLES,None,"Robert Shaw, Richard Burton & Charles Laughton all played this ruler on film",Henry VIII
1320,5/4/1990,Final Jeopardy!,THE SENATE,None,The 2 astronauts who went on to become U.S. Senators,John Glenn (Ohio) & Harrison Schmitt (New Mexico)
1322,5/8/1990,Final Jeopardy!,ISLANDS,None,"The largest island in the Tuscan Archipelago, its most famous resident left in 1815",Elba (former home of Napoleon)
1323,5/9/1990,Final Jeopardy!,NATIONAL ANTHEMS,None,"This country's national anthem was written on the night of April 24, 1792","France (\""La Marseillaise\"")"
1324,5/10/1990,Final Jeopardy!,U.S. CITIES,None,Massachusetts city named for an industrialist whose family included several poets & an astronomer,Lowell
1325,5/11/1990,Final Jeopardy!,MEDICINE,None,"His vaccine was announced safe in April '55, the 10th anniversary of FDR's death",Dr. Jonas Salk
1326,5/14/1990,Final Jeopardy!,THE BIBLE,None,"Of the men mentioned in the King James Version, he's first alphabetically",Aaron (Moses' brother)
1327,5/15/1990,Final Jeopardy!,THE NOBEL PRIZE,None,This winner of the 1970 Nobel Literature Prize was born in 1918 into a family of Cossack intellectuals,Aleksandr Solzhenitsyn
1328,5/16/1990,Final Jeopardy!,GEOGRAPHY,None,"It's the only country whose name begins with ""A"", but doesn't end with ""A""",Afghanistan
1329,5/17/1990,Final Jeopardy!,AMERICAN AUTHORS,None,"In 1839, at age 19, he joined the crew of the freighter St. Lawrence that ran between NYC & Liverpool",Herman Melville
1330,5/18/1990,Final Jeopardy!,THE SUPREME COURT,None,"Son of a famous poet, this oldest justice ever didn't retire until he was 90","Oliver Wendell Holmes, Jr."
